test_image,response,resptime
I23_1.0_chroma.JPG,6,74.461646
H22_1.0_chroma.JPG,6,29.825755
H26_1.0_chroma.JPG,5,11.380117
H29_1.0_chroma.JPG,6,54.941794
H20_1.0_chroma.JPG,6,17.917256
H9_1.0_chroma.JPG,4,6.850597
I20_1.0_chroma.JPG,6,17.238996
H8_1.0_chroma.JPG,5,4.066995
I13_1.0_chroma.JPG,4,6.603754
H16_1.0_chroma.JPG,5,4.870269
I06_1.0_chroma.JPG,5,7.676542
H12_1.0_chroma.JPG,6,6.834298
H0_1.0_chroma.JPG,7,5.237143
H6_1.0_chroma.JPG,5,6.026458
H7_1.0_chroma.JPG,5,3.003257
I22_1.0_chroma.JPG,4,3.665886
H13_1.0_chroma.JPG,6,3.710206
H3_1.0_chroma.JPG,5,2.766889
I12_1.0_chroma.JPG,7,4.101621
H17_1.0_chroma.JPG,5,4.470955
H4_1.0_chroma.JPG,5,2.093041
I04_1.0_chroma.JPG,7,6.546891
H1_1.0_chroma.JPG,6,3.381153
H27_1.0_chroma.JPG,5,2.649968
H15_1.0_chroma.JPG,7,2.192678
I15_1.0_chroma.JPG,8,2.284201
H11_1.0_chroma.JPG,6,3.653686
H2_1.0_chroma.JPG,6,1.808153
H5_1.0_chroma.JPG,5,3.467996
I08_1.0_chroma.JPG,5,2.427629
I03_1.0_chroma.JPG,7,2.634294
I16_1.0_chroma.JPG,6,1.931038
H19_1.0_chroma.JPG,7,4.103478
I14_1.0_chroma.JPG,6,2.483411
H21_1.0_chroma.JPG,8,1.963027
H10_1.0_chroma.JPG,6,4.449763
H24_1.0_chroma.JPG,6,3.391506
I01_1.0_chroma.JPG,5,2.699752
H23_1.0_chroma.JPG,6,2.413492
H14_1.0_chroma.JPG,6,2.755097
H18_1.0_chroma.JPG,6,4.788019
I21_1.0_chroma.JPG,6,2.13475
I07_1.0_chroma.JPG,7,2.624088
H28_1.0_chroma.JPG,7,3.303614
H25_1.0_chroma.JPG,6,2.754206
