test_image,response,resptime
H15_1.0_chroma.JPG,4,11.854598
I06_1.0_chroma.JPG,4,6.89866
H26_1.0_chroma.JPG,2,4.205885
I22_1.0_chroma.JPG,2,1.742
H27_1.0_chroma.JPG,1,11.681456
I04_1.0_chroma.JPG,5,7.07812
I13_1.0_chroma.JPG,4,1.791539
I03_1.0_chroma.JPG,4,4.235204
H22_1.0_chroma.JPG,7,5.925552
H21_1.0_chroma.JPG,2,17.594282
H9_1.0_chroma.JPG,1,2.155871
I07_1.0_chroma.JPG,6,2.649615
H8_1.0_chroma.JPG,4,7.238529
H2_1.0_chroma.JPG,4,2.785823
H12_1.0_chroma.JPG,3,2.073288
H17_1.0_chroma.JPG,3,4.737053
I23_1.0_chroma.JPG,4,2.35572
H4_1.0_chroma.JPG,2,2.27098
H14_1.0_chroma.JPG,5,6.651449
H23_1.0_chroma.JPG,4,5.519388
H18_1.0_chroma.JPG,4,7.616196
I01_1.0_chroma.JPG,0,6.360916
I16_1.0_chroma.JPG,6,4.356643
H25_1.0_chroma.JPG,7,1.918273
H1_1.0_chroma.JPG,7,1.468806
I08_1.0_chroma.JPG,3,1.799765
H10_1.0_chroma.JPG,2,2.040758
H11_1.0_chroma.JPG,3,2.366625
I14_1.0_chroma.JPG,3,4.776909
H13_1.0_chroma.JPG,4,4.839594
H0_1.0_chroma.JPG,2,4.293744
H16_1.0_chroma.JPG,1,1.514602
H28_1.0_chroma.JPG,4,4.366452
I12_1.0_chroma.JPG,6,3.289589
H3_1.0_chroma.JPG,3,3.41812
H7_1.0_chroma.JPG,3,2.582576
H5_1.0_chroma.JPG,2,1.770468
H29_1.0_chroma.JPG,3,5.375842
H20_1.0_chroma.JPG,1,8.411698
H19_1.0_chroma.JPG,3,6.338
I21_1.0_chroma.JPG,6,9.218547
H24_1.0_chroma.JPG,3,28.901322
I20_1.0_chroma.JPG,1,7.11471
H6_1.0_chroma.JPG,2,2.746999
I15_1.0_chroma.JPG,6,2.570744
