test_image,response,resptime
H17_1.0_chroma.JPG,3,33.219874
H0_1.0_chroma.JPG,4,13.499934
H22_1.0_chroma.JPG,8,6.988612
H20_1.0_chroma.JPG,7,6.988151
H21_1.0_chroma.JPG,3,20.228352
I15_1.0_chroma.JPG,8,10.119254
H4_1.0_chroma.JPG,4,7.694165
H18_1.0_chroma.JPG,7,5.975157
H27_1.0_chroma.JPG,6,5.631951
I08_1.0_chroma.JPG,5,3.716541
H25_1.0_chroma.JPG,7,8.959625
H1_1.0_chroma.JPG,6,6.420143
H12_1.0_chroma.JPG,6,3.615335
H14_1.0_chroma.JPG,6,9.823137
I12_1.0_chroma.JPG,7,2.379802
I06_1.0_chroma.JPG,7,8.597288
H6_1.0_chroma.JPG,4,7.883825
I04_1.0_chroma.JPG,8,2.329725
H13_1.0_chroma.JPG,5,4.427806
I14_1.0_chroma.JPG,3,5.028418
H2_1.0_chroma.JPG,7,15.561842
H3_1.0_chroma.JPG,4,2.148485
I23_1.0_chroma.JPG,8,3.420352
H28_1.0_chroma.JPG,5,2.809936
H23_1.0_chroma.JPG,5,2.64913
I20_1.0_chroma.JPG,7,2.69638
H15_1.0_chroma.JPG,7,3.38686
I22_1.0_chroma.JPG,6,7.074089
I03_1.0_chroma.JPG,7,2.100485
H16_1.0_chroma.JPG,4,4.926467
H8_1.0_chroma.JPG,7,4.959066
H5_1.0_chroma.JPG,4,3.156745
H26_1.0_chroma.JPG,6,2.857116
I07_1.0_chroma.JPG,7,4.419847
I01_1.0_chroma.JPG,3,1.743879
I21_1.0_chroma.JPG,8,2.228652
H24_1.0_chroma.JPG,3,5.03851
H11_1.0_chroma.JPG,7,2.931188
H19_1.0_chroma.JPG,7,1.79784
I13_1.0_chroma.JPG,8,5.585192
H10_1.0_chroma.JPG,4,3.017188
I16_1.0_chroma.JPG,8,3.768854
H7_1.0_chroma.JPG,7,1.045614
H29_1.0_chroma.JPG,4,3.902607
H9_1.0_chroma.JPG,3,1.398108
