Bildergruppe,1,2,3,4,5,6,7,8,9,Auswahl
H7_recolor.BMP,0.6,1.0,1.34,1.68,1.99,2.3,2.59,2.86,3.12,1.0
H20_recolor.BMP,0.6,1.0,1.39,1.79,2.18,2.57,2.95,3.34,3.72,2.18
H19_recolor.BMP,0.6,1.0,1.33,1.63,1.92,2.19,2.45,2.68,2.9,2.68
I11_recolor.BMP,0.6,1.0,1.38,1.76,2.13,2.5,2.86,3.22,3.57,1.0
I06_recolor.BMP,0.6,0.82,1.0,1.16,1.32,1.46,1.59,1.72,1.83,0.82
I10_recolor.BMP,0.6,1.0,1.49,2.01,2.55,3.12,3.71,4.32,4.96,3.12
H2_recolor.BMP,0.6,1.0,1.3,1.58,1.83,2.06,2.27,2.45,2.6,2.6
H30_recolor.BMP,0.6,1.0,1.34,1.65,1.96,2.24,2.51,2.77,3.0,1.96
H21_recolor.BMP,0.6,1.0,1.48,1.97,2.49,3.02,3.57,4.14,4.73,1.48
H6_recolor.BMP,0.6,1.0,1.47,1.95,2.45,2.97,3.5,4.05,4.62,2.97
I05_recolor.BMP,0.6,1.0,1.35,1.68,2.0,2.31,2.6,2.88,3.15,0.6
I12_recolor.BMP,0.6,1.0,1.42,1.84,2.26,2.69,3.12,3.55,3.99,1.84
I19_recolor.BMP,0.6,1.0,1.36,1.7,2.04,2.37,2.68,2.99,3.28,2.04
I07_recolor.BMP,0.6,0.8,1.0,1.2,1.39,1.58,1.78,1.97,2.16,1.0
I22_recolor.BMP,0.6,1.0,1.32,1.62,1.89,2.15,2.39,2.6,2.8,0.6
I15_recolor.BMP,0.6,0.81,1.0,1.18,1.36,1.54,1.71,1.87,2.04,2.04
I14_recolor.BMP,0.6,1.0,1.43,1.86,2.3,2.75,3.2,3.66,4.13,3.2
H27_recolor.BMP,0.6,1.0,1.63,2.33,3.08,3.89,4.76,5.69,6.67,3.89
I09_recolor.BMP,0.6,1.0,1.44,1.89,2.36,2.83,3.31,3.8,4.31,4.31
H13_recolor.BMP,0.6,1.0,1.37,1.73,2.09,2.44,2.78,3.11,3.44,3.44
