Bildergruppe,1,2,3,4,5,6,7,8,9,Auswahl
I03_recolor.BMP,0.6,1.0,1.29,1.56,1.8,2.01,2.19,2.35,2.48,1.0
H24_recolor.BMP,0.6,1.0,1.44,1.89,2.35,2.82,3.3,3.79,4.28,3.79
I02_recolor.BMP,0.6,0.81,1.0,1.17,1.33,1.49,1.63,1.77,1.9,1.17
H28_recolor.BMP,0.6,1.0,1.4,1.8,2.2,2.6,2.99,3.39,3.79,2.99
I05_recolor.BMP,0.6,1.0,1.35,1.68,2.0,2.31,2.6,2.88,3.15,3.15
I24_recolor.BMP,0.6,1.0,1.43,1.88,2.33,2.78,3.25,3.73,4.21,1.43
I14_recolor.BMP,0.6,1.0,1.43,1.86,2.3,2.75,3.2,3.66,4.13,3.2
I15_recolor.BMP,0.6,0.81,1.0,1.18,1.36,1.54,1.71,1.87,2.04,1.0
I04_recolor.BMP,0.6,1.0,1.39,1.78,2.17,2.56,2.95,3.33,3.72,1.0
H25_recolor.BMP,0.6,1.0,1.28,1.54,1.77,1.96,2.13,2.27,2.38,1.28
I19_recolor.BMP,0.6,1.0,1.36,1.7,2.04,2.37,2.68,2.99,3.28,1.36
I01_recolor.BMP,0.6,1.0,1.7,2.47,3.31,4.23,5.23,6.29,7.44,0.6
H12_recolor.BMP,0.6,1.0,1.51,2.05,2.61,3.2,3.82,4.47,5.15,3.82
H22_recolor.BMP,0.6,1.0,1.33,1.64,1.94,2.22,2.48,2.73,2.95,0.6
H20_recolor.BMP,0.6,1.0,1.39,1.79,2.18,2.57,2.95,3.34,3.72,1.0
H6_recolor.BMP,0.6,1.0,1.47,1.95,2.45,2.97,3.5,4.05,4.62,1.0
H7_recolor.BMP,0.6,1.0,1.34,1.68,1.99,2.3,2.59,2.86,3.12,1.68
H10_recolor.BMP,0.6,1.0,1.39,1.77,2.15,2.53,2.91,3.28,3.65,2.53
I11_recolor.BMP,0.6,1.0,1.38,1.76,2.13,2.5,2.86,3.22,3.57,1.38
H15_recolor.BMP,0.6,1.0,1.32,1.61,1.88,2.14,2.37,2.58,2.77,1.0
I06_recolor.BMP,0.6,0.82,1.0,1.16,1.32,1.46,1.59,1.72,1.83,0.6
I18_recolor.BMP,0.6,1.0,1.36,1.72,2.06,2.4,2.73,3.05,3.36,1.36
H30_recolor.BMP,0.6,1.0,1.34,1.65,1.96,2.24,2.51,2.77,3.0,1.34
H5_recolor.BMP,0.6,1.0,1.45,1.91,2.38,2.86,3.36,3.87,4.39,1.0
H26_recolor.BMP,0.6,1.0,1.31,1.6,1.86,2.11,2.33,2.52,2.7,2.11
H19_recolor.BMP,0.6,1.0,1.33,1.63,1.92,2.19,2.45,2.68,2.9,1.63
I09_recolor.BMP,0.6,1.0,1.44,1.89,2.36,2.83,3.31,3.8,4.31,4.31
H9_recolor.BMP,0.6,1.0,1.34,1.66,1.97,2.26,2.53,2.79,3.04,3.04
I17_recolor.BMP,0.6,1.0,1.4,1.79,2.18,2.58,2.97,3.36,3.75,0.6
