test_image,response,resptime
H1_1.0_chroma.JPG,4,2.214288
I01_1.0_chroma.JPG,2,1.337011
H12_1.0_chroma.JPG,6,1.60496
H13_1.0_chroma.JPG,4,1.51789
I23_1.0_chroma.JPG,6,1.514806
I13_1.0_chroma.JPG,6,1.645713
I12_1.0_chroma.JPG,4,1.340672
H23_1.0_chroma.JPG,5,1.445272
H20_1.0_chroma.JPG,4,1.478215
H25_1.0_chroma.JPG,2,1.308322
H16_1.0_chroma.JPG,1,1.554394
H4_1.0_chroma.JPG,4,1.371627
H26_1.0_chroma.JPG,3,1.811583
H17_1.0_chroma.JPG,2,1.701686
I15_1.0_chroma.JPG,6,1.465061
H9_1.0_chroma.JPG,3,1.510824
H2_1.0_chroma.JPG,7,1.694037
H19_1.0_chroma.JPG,5,1.374415
I06_1.0_chroma.JPG,6,1.131058
H6_1.0_chroma.JPG,3,1.404435
I16_1.0_chroma.JPG,6,1.101518
H27_1.0_chroma.JPG,3,2.08542
H14_1.0_chroma.JPG,4,1.300776
I04_1.0_chroma.JPG,5,1.421168
H28_1.0_chroma.JPG,7,1.322639
H3_1.0_chroma.JPG,3,1.307015
I20_1.0_chroma.JPG,6,1.985845
H8_1.0_chroma.JPG,3,1.506038
I22_1.0_chroma.JPG,5,1.363725
H10_1.0_chroma.JPG,3,1.859625
H18_1.0_chroma.JPG,5,1.31525
H7_1.0_chroma.JPG,4,1.267679
H11_1.0_chroma.JPG,6,2.062825
I14_1.0_chroma.JPG,5,2.265129
I21_1.0_chroma.JPG,7,1.396869
I03_1.0_chroma.JPG,6,1.534703
I07_1.0_chroma.JPG,5,1.326857
H29_1.0_chroma.JPG,4,1.177412
H0_1.0_chroma.JPG,4,1.450888
H5_1.0_chroma.JPG,3,1.482857
I08_1.0_chroma.JPG,2,1.560606
H21_1.0_chroma.JPG,2,1.244687
H15_1.0_chroma.JPG,4,2.463965
H22_1.0_chroma.JPG,3,1.784556
H24_1.0_chroma.JPG,3,1.631609
