test_image,response,resptime
I01_1.0_chroma.JPG,3,4.695122
H7_1.0_chroma.JPG,2,1.567077
H23_1.0_chroma.JPG,4,6.886237
I23_1.0_chroma.JPG,6,16.563808
I21_1.0_chroma.JPG,5,5.29477
H17_1.0_chroma.JPG,4,3.443623
H13_1.0_chroma.JPG,4,3.374244
H2_1.0_chroma.JPG,2,1.824573
H12_1.0_chroma.JPG,3,2.569886
I14_1.0_chroma.JPG,4,5.129987
I16_1.0_chroma.JPG,5,4.071873
H28_1.0_chroma.JPG,4,2.210542
H24_1.0_chroma.JPG,1,5.02602
I07_1.0_chroma.JPG,6,13.551143
H27_1.0_chroma.JPG,1,3.205783
I03_1.0_chroma.JPG,4,3.123179
H18_1.0_chroma.JPG,2,1.361113
I06_1.0_chroma.JPG,3,3.30635
I12_1.0_chroma.JPG,4,3.202708
H11_1.0_chroma.JPG,2,8.903276
I20_1.0_chroma.JPG,5,5.041183
H22_1.0_chroma.JPG,4,2.429051
H21_1.0_chroma.JPG,2,13.058551
H15_1.0_chroma.JPG,6,3.881259
H9_1.0_chroma.JPG,3,4.005642
I08_1.0_chroma.JPG,4,4.505791
H1_1.0_chroma.JPG,4,2.663877
H14_1.0_chroma.JPG,4,3.395913
H8_1.0_chroma.JPG,4,5.072761
H4_1.0_chroma.JPG,2,1.901814
H20_1.0_chroma.JPG,2,2.38946
H3_1.0_chroma.JPG,2,5.501826
I13_1.0_chroma.JPG,6,2.631718
H16_1.0_chroma.JPG,3,5.365775
H26_1.0_chroma.JPG,5,4.596809
H19_1.0_chroma.JPG,6,1.730106
H5_1.0_chroma.JPG,4,1.819526
I04_1.0_chroma.JPG,5,2.797361
I15_1.0_chroma.JPG,6,5.466071
H6_1.0_chroma.JPG,3,2.298855
H0_1.0_chroma.JPG,4,2.073926
H29_1.0_chroma.JPG,5,3.453205
H10_1.0_chroma.JPG,2,2.148169
I22_1.0_chroma.JPG,5,4.643251
H25_1.0_chroma.JPG,4,5.951128
